++++++++++++++++++++++++++++++++++++++++++++++++++++
|                                                  +
|                                                  +
|                                                  +
|                                                  +
|                                                  +
|0-------------------------------------------------+
|                                                  +
|                                                  +
|                                                  +
|                                                  +
|                                                  +
++++++++++++++++++++++++++++++++++++++++++++++++++++
